Anaa Airport;-17.3526;-145.509995;PF;AAA
Arrabury Airport;-26.69639;141.048718;AU;AAB
El Arish International Airport;31.078565;33.836791;EG;AAC
Adado Airport;6.095802;46.6375;SO;AAD
Annaba Rabah Bitat Airport;36.826781;7.81334;DZ;AAE
Apalachicola Regional Airport;29.727501;-85.027496;US;AAF
Aachen-Merzbrück Airport;50.823055;6.186389;DE;AAH
Arraias Airport;-13.025154;-46.884107;BR;AAI
Cayana Airstrip;3.898681;-55.577907;SR;AAJ
Aranuka Airport;0.185278;173.636993;KI;AAK
Aalborg Airport;57.094763;9.84993;DK;AAL
Malamala Airport;-24.816866;31.544085;ZA;AAM
Al Ain International Airport;24.26169968;55.60919952;AE;AAN
Anaco Airport;9.430225;-64.470726;VE;AAO
Aji Pangeran Tumenggung Pranoto International Airport;-0.374478;117.250128;ID;AAP
Anapa Vityazevo Airport;45.002102;37.347301;RU;AAQ
Aarhus Airport;56.303331;10.618286;DK;AAR
Apalapsili Airport;-3.882495;139.310932;ID;AAS
Altay Xuedu Airport;47.749886;88.085808;CN;AAT
Asau Airport;-13.505132;-172.627888;WS;AAU
Allah Valley Airport;6.367903;124.752431;PH;AAV
Romeu Zema Airport;-19.5632;-46.9604;BR;AAX
Al Ghaydah International Airport;16.193341;52.174186;YE;AAY
Quezaltenango Airport;14.8656;-91.501999;GT;AAZ
Abakan International Airport;53.740002;91.385002;RU;ABA
Asaba International Airport;6.204167;6.665278;NG;ABB
Albacete Airport / Los Llanos Air Base;38.948502;-1.86352;ES;ABC
Abadan Airport;30.367887;48.230075;IR;ABD
Lehigh Valley International Airport;40.651773;-75.442797;US;ABE
Abaiang Airport;1.79861;173.041;KI;ABF
Abingdon Downs Airport;-17.608814;143.183531;AU;ABG
Alpha Airport;-23.652849;146.582668;AU;ABH
Abilene Regional Airport;32.41130066;-99.68190002;US;ABI
Félix-Houphouët-Boigny International Airport;5.26139;-3.92629;CI;ABJ
Kebri Dahar Airport;6.732577;44.241339;ET;ABK
Ambler Airport;67.105529;-157.855339;US;ABL
Northern Peninsula Airport;-10.946194;142.455081;AU;ABM
Albina Airport;5.51272;-54.050098;SR;ABN
Aboisso Airport;5.461944;-3.234722;CI;ABO
Atkamba Airport;-6.06462;141.095173;PG;ABP
Albuquerque International Sunport;35.039976;-106.608925;US;ABQ
Aberdeen Regional Airport;45.44910049;-98.42179871;US;ABR
Abu Simbel Airport;22.367657;31.609962;EG;ABS
King Saud Bin Abdulaziz (Al Baha) Airport;20.298506;41.636153;SA;ABT
AA Bere Tallo (Haliwen) Airport;-9.074841;124.903285;ID;ABU
Nnamdi Azikiwe International Airport;9.00679;7.26317;NG;ABV
Albury Airport;-36.066758;146.959148;AU;ABX
Southwest Georgia Regional Airport;31.532946;-84.196215;US;ABY
Aberdeen International Airport;57.2019;-2.19778;GB;ABZ
General Juan N. Álvarez International Airport;16.757126;-99.753113;MX;ACA
Antrim County Airport;44.988602;-85.198402;US;ACB
Kotoka International Airport;5.6051898;-0.166786;GH;ACC
Alcides Fernández Airport;8.497847;-77.274106;CO;ACD
César Manrique-Lanzarote Airport;28.945499;-13.6052;ES;ACE
Aral Tarim Airport;40.434748;81.26206;CN;ACF
Sankt Gallen Altenrhein Airport;47.485001;9.56077;CH;ACH
Alderney Airport;49.706104;-2.21472;GG;ACI
Anuradhapura Airport;8.301542;80.42848;LK;ACJ
Nantucket Memorial Airport;41.25310135;-70.06020355;US;ACK
Arica Airport;-2.143713;-71.75935;CO;ACM
